id,image_width,image_height,box_count,box_size_avg,box_dist_avg,box_normalized_count,box_normalized_count (above average),box_normalized_count (below average),box_normalized_size_avg,box_normalized_dist_avg,normalization_warp_ratio,box_normalized_plus_dist_avg,d_box_norm_above_size,d_box_norm_below_size,d_box_normalized_points_far_distance,box_most_large_x,box_most_large_y,box_most_small_x,box_most_small_y
0001,3436,2376,49,107.74777777777773,19.8470604654948,41,3,1,101.59390243902436,19.8470604654948,0.0888888888888889,23.684302667608705,14.491836734693877,1.8695652173913044,161.4816549134724,222.75,299.70000000000005,38.0,38.0
0002,1920,1280,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0003,2362,1257,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0004,4884,3072,141,107.56481481481485,12.376122846063591,75,18,15,87.08200000000001,12.376122846063591,0.3055555555555556,8.035263178547938,39.07340425531914,7.298780487804883,599.4329400154332,311.85000000000014,379.3499999999999,30.0,30.0
0005,4032,3024,47,266.5502702702703,30.804155718829204,27,5,5,256.3955555555556,30.804155718829204,0.2702702702702703,4.7383883127047595,30.148936170212767,31.285714285714285,306.67468217842105,538.0,538.0,99.0,98.0
0006,1600,1066,1273,13.8766936829559,0.7391442351400129,405,100,334,11.32753086419753,0.7391442351400129,0.5172824791418356,4.704383333082652,1.4160000000000006,5.294242114237003,2487.2919643305745,134.0,182.0,2.0,1.0
0007,1584,1153,40,46.57500000000001,6.855429732378796,28,6,0,39.776785714285715,6.855429732378796,0.17647058823529416,13.206733356217526,8.370000000000001,0.0,0.0,70.20000000000005,87.75,25.65000000000009,29.700000000000045
0008,3872,2592,13787,12.062599086846706,0.1694758965627381,6801,1401,2092,12.063034847816498,0.1694758965627381,0.339323877987177,1.2749228134952404,1.3292558207006604,1.7348659777167783,12009.698652024019,32.400000000000006,41.850000000000364,1.0,1.0
0009,4964,3456,109,156.53464000000002,16.30208333333333,91,9,0,146.5708131868132,16.30208333333333,0.08999999999999997,7.152896397800661,20.499302752293538,0.0,0.0,241.92000000000007,300.672,82.0,82.0
0010,4691,3126,41,228.46161111111107,34.651798677797636,31,5,0,192.30303225806452,34.651798677797636,0.13888888888888884,19.744670320679194,52.37956097560976,0.0,0.0,550.176,547.0499999999997,122.84999999999991,125.55000000000018
0011,1555,1037,167,44.47554887218045,3.6060889434814554,99,22,12,35.19923232323232,3.6060889434814554,0.2556390977443609,13.339030357125335,5.019820359281439,3.243986206896552,1147.917163700464,124.44,147.25400000000002,3.0,3.0
0012,4240,2608,577,50.546036585365854,2.5523962804005835,407,65,20,44.046191646191645,2.5523962804005835,0.1727642276422764,4.732614862434027,6.1857885615251345,1.720703125,1525.5426000559924,108.0,193.05000000000018,6.0,7.0
0013,1620,1080,979,19.538642473118276,0.8199742268041258,509,123,112,15.129076620825167,0.8199742268041258,0.3158602150537635,2.8748435934805645,3.7769662921348233,2.0391939252336466,2881.8123663247197,94.5,118.79999999999995,5.0,8.0
0014,1840,1232,98,51.47633333333334,7.061875000000003,70,7,7,44.78931428571429,7.061875000000003,0.16666666666666663,12.813471686321073,3.7653061224489797,2.927296703296704,1030.9899030621955,177.40800000000013,209.43999999999983,4.0,3.0
0015,3264,2448,2208,19.781168478260867,0.6331489945155291,1472,256,112,16.497350543478266,0.6331489945155291,0.19999999999999996,3.504118577073081,2.3773550724637653,1.254072745901639,4907.165320141959,66.15000000000009,105.30000000000018,4.0,4.0
0016,2160,1620,1201,9.897145769622828,0.714149852761055,761,160,60,8.586333771353484,0.714149852761055,0.2242609582059123,5.054472131998775,2.467693588676102,0.556820365033621,4990.425751233932,26.5,33.75,1.0,1.0
0017,4032,3024,77,42.63766233766233,17.06880000000007,77,0,0,42.63766233766233,17.06880000000007,0.0,51.265543998050724,0.0,0.0,0.0,47.25,56.69999999999982,35.100000000000364,35.09999999999991
